film_id,title,year,genres
1,Gümüşü Bulud,2004,Dram
2,İsti Sahil,2023,Döyüş|Dram
3,Şirin Xatirə,2011,Döyüş|Triller
4,Yüngül Körpü,2019,Animasiya
5,Unudulmuş Qum,1996,Sənədli|Komediya
6,Dərin İşıq,2008,Triller|Komediya
7,Boş Dağ,2014,Döyüş
8,Gümüşü Qum,2010,Triller|Elmi-fantastika
9,Sınıq Yuxu,2014,Romantika|Qorxu
10,Yüngül Pilləkən,2008,Elmi-fantastika
11,Gizli Nağıl,2001,Sənədli
12,Parlaq Zəng,2007,Dram|Romantika
13,Səssiz Dəniz,2018,Macəra
14,Sehrli İşıq,2012,Macəra|Dram
15,Sınıq Dağ,2011,Komediya
16,Uzaq Qapı,2003,Komediya
17,Unudulmuş Külək,2020,Macəra
18,Səssiz Körpü,2014,Komediya
19,Qara Sirr,2011,Romantika|Triller
20,Köhnə Tufan,2010,Sənədli|Elmi-fantastika
21,Uzun Səhra,1995,Triller|Dram
22,Qaranlıq Saray,2009,Qorxu
23,Sehrli Səs,2000,Triller
24,İsti Damla,2003,Komediya
25,Uzun Saat,2002,Animasiya
26,Köhnə Bahar,2007,Elmi-fantastika
27,Sakit Qum,1997,Döyüş|Triller
28,Küləkli Pəncərə,1997,Komediya
29,Uzaq Sirr,2009,Sənədli|Dram
30,Sınıq Kənd,2002,Dram|Romantika
31,Qarlı Zəng,2004,Romantika|Komediya
32,Sınıq Alov,2004,Elmi-fantastika|Döyüş
33,Yalnız Yuxu,2012,Dram
34,Kölgəli Saray,2008,Komediya
35,Sonuncu Qatar,2009,Triller
36,Kölgəli Bulud,2005,Animasiya
37,Azad Kənd,2002,Triller|Qorxu
38,Yeni Qatar,2006,Romantika|Macəra
39,Qırmızı İşıq,2024,Romantika|Triller
40,Uzun Şəhər,2003,Qorxu
41,Yüngül Otaq,2011,Macəra|Qorxu
42,Köhnə Yuxu,2010,Macəra|Qorxu
43,Əbədi Dəniz,1999,Komediya
44,Qırmızı Küçə,2010,Döyüş
45,Sehrli Bağ,2015,Triller
46,Qaranlıq Göl,2020,Döyüş|Romantika
47,Yalnız Küçə,2010,Macəra
48,Qızılı Güzgü,2013,Romantika
49,Yağışlı Məktub,2015,Elmi-fantastika
50,Yüngül Dəniz,2018,Triller
51,Şirin Göl,2016,Sənədli
52,Soyuq Qala,2020,Triller|Animasiya
53,Sonuncu Liman,2009,Komediya|Dram
54,Yeni Bağ,2021,Komediya
55,Qarlı Ulduz,2018,Macəra|Qorxu
56,Uzaq Liman,2015,Animasiya|Macəra
57,Mavi Nəfəs,2005,Romantika
58,Yeni Nəfəs,2010,Dram|Macəra
59,Qırmızı Dağ,2019,Sənədli|Triller
60,Qarlı Saray,2016,Dram
61,Boş Səhra,2008,Romantika|Qorxu
62,Küləkli Payız,2016,Dram|Triller
63,Acı Yol,2012,Dram
64,Soyuq Dağ,2009,Komediya
65,Parlaq İşıq,1996,Dram|Komediya
66,Qızılı Səs,2010,Romantika|Döyüş
67,Sehrli Güzgü,2011,Komediya
68,Unudulmuş Kölgə,1995,Dram|Döyüş
69,Azad Dağ,2017,Romantika
70,Köhnə Buz,2010,Animasiya
71,Küləkli Küçə,2006,Romantika
72,Şirin Otaq,2023,Dram
73,Sehrli Açar,2020,Triller
74,Gizli Qapı,1995,Döyüş|Komediya
75,Parlaq Küçə,2022,Romantika|Komediya
76,Sınıq Ev,2018,Elmi-fantastika
77,Səssiz Buz,2008,Romantika|Macəra
78,Ağ Liman,2011,Dram|Qorxu
79,Kölgəli Pəncərə,1998,Komediya
80,Ölümsüz Qatar,2003,Dram
81,Sonuncu Bağ,2003,Döyüş|Dram
82,Cəsur Rəqs,2013,Romantika|Triller
