reytinq_sayi,sira,model_key,Model,precision_at_10,recall_at_10,musteri_sayi
3,3,popularity,Populyarlıq (baza model),0.062068965517241385,0.1669950738916256,29
3,3,item_cf,Əməkdaşlıq süzgəci (Item-CF),0.003448275862068966,0.0049261083743842365,29
3,3,svd,SVD (matris faktorizasiyası),0.02413793103448276,0.07791461412151067,29
5,5,popularity,Populyarlıq (baza model),0.062068965517241385,0.1669950738916256,29
5,5,item_cf,Əməkdaşlıq süzgəci (Item-CF),0.020689655172413793,0.07389162561576354,29
5,5,svd,SVD (matris faktorizasiyası),0.017241379310344827,0.05492610837438423,29
10,10,popularity,Populyarlıq (baza model),0.06551724137931035,0.17110016420361246,29
10,10,item_cf,Əməkdaşlıq süzgəci (Item-CF),0.027586206896551727,0.10952380952380952,29
10,10,svd,SVD (matris faktorizasiyası),0.020689655172413793,0.07216748768472905,29
Tam,999,popularity,Populyarlıq (baza model),0.07586206896551725,0.19154351395730707,29
Tam,999,item_cf,Əməkdaşlıq süzgəci (Item-CF),0.03103448275862069,0.1591954022988506,29
Tam,999,svd,SVD (matris faktorizasiyası),0.027586206896551727,0.09515599343185549,29
