k,epochs,epoch_label,dataset,rmse,rmse_std,precision_at_k,recall_at_k,coverage,n_seeds,mae,n_customers_evaluated
2,20,tapşırıq (20),validasiya,0.8158953613626885,0.0007660381446544143,0.019454545454545454,0.11757575757575756,0.088,5,,
2,20,tapşırıq (20),test,0.8464883380149207,0.0,0.04827586206896552,0.15569786535303776,0.09,1,0.6692913156797842,145.0
5,20,tapşırıq (20),validasiya,0.8158210780966628,0.001051161025308402,0.019818181818181818,0.11939393939393939,0.095,5,,
5,20,tapşırıq (20),test,0.8460522918269417,0.0,0.04827586206896552,0.15569786535303776,0.09,1,0.6693666580732838,145.0
10,20,tapşırıq (20),validasiya,0.817224173209717,0.0021302743423511233,0.019999999999999997,0.12,0.10500000000000001,5,,
10,20,tapşırıq (20),test,0.8455605941242842,0.0,0.04689655172413793,0.15201970443349755,0.11,1,0.6667876763407015,145.0
20,20,tapşırıq (20),validasiya,0.8142973213150866,0.003220174666614379,0.019454545454545454,0.1190909090909091,0.128,5,,
20,20,tapşırıq (20),test,0.8467848124506242,0.0,0.042068965517241375,0.13351395730706073,0.14,1,0.6710049661307768,145.0
50,20,tapşırıq (20),validasiya,0.8208290879513267,0.0042203281648636615,0.019454545454545457,0.11878787878787878,0.171,5,,
50,20,tapşırıq (20),test,0.8464877557691511,0.0,0.04344827586206897,0.13845648604269295,0.17,1,0.6669833506413203,145.0
2,100,tənzimlənmiş (100),validasiya,0.8269019917624195,0.009881996141660382,0.01563636363636364,0.09666666666666668,0.23700000000000002,5,,
2,100,tənzimlənmiş (100),test,0.8195830059595144,0.0,0.039310344827586205,0.11405582922824302,0.26,1,0.6502532352723335,145.0
5,100,tənzimlənmiş (100),validasiya,0.8204140424739521,0.007432571136705143,0.017272727272727273,0.1087878787878788,0.34199999999999997,5,,
5,100,tənzimlənmiş (100),test,0.8109575308384775,0.0,0.04344827586206897,0.14192118226600986,0.42,1,0.6361238483645725,145.0
10,100,tənzimlənmiş (100),validasiya,0.8066379635009289,0.01293421105950745,0.02181818181818182,0.13484848484848486,0.43499999999999994,5,,
10,100,tənzimlənmiş (100),test,0.8013945215709773,0.0,0.05379310344827587,0.16738095238095235,0.49,1,0.6252971909514576,145.0
20,100,tənzimlənmiş (100),validasiya,0.797909079603046,0.014306890085470937,0.020727272727272726,0.1315151515151515,0.4600000000000001,5,,
20,100,tənzimlənmiş (100),test,0.8146625084449003,0.0,0.04551724137931034,0.1551888341543514,0.52,1,0.6417969558443168,145.0
50,100,tənzimlənmiş (100),validasiya,0.7943426014615443,0.006515210495127278,0.022000000000000002,0.13878787878787877,0.45500000000000007,5,,
50,100,tənzimlənmiş (100),test,0.7983468012814645,0.0,0.057241379310344835,0.18451559934318554,0.525,1,0.6265781630462284,145.0
